id,name,speciality,location_miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun
17,Dr. Neha Kulkarni,Rheumatology,5.9,09:00-11:00,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,09:00-11:00
18,Dr. Sameer Joshi,General Surgery,9.1,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-11:00
19,Dr. Kavya Rao,Infectious Disease,6,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,Closed,09:00-12:00,08:30-11:30,Closed
20,Dr. Imran Khan,Allergy and Immunology,4.3,10:30-13:30,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,Closed
21,Dr. Pooja Menon,Family Medicine,1.4,10:30-13:30,Closed,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30;15:00-17:00,09:00-11:00
22,Dr. Harsh Vyas,Cardiology,7,09:30-12:30,08:00-10:30,10:30-13:30,Closed,09:00-12:00,08:30-11:30,09:00-11:00
23,Dr. Ritu Arora,Endocrinology,3.2,08:00-10:30,10:30-13:30,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:00-11:00
24,Dr. Ankit Batra,Neurology,8.4,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,Closed,Closed
25,Dr. Swati Chandra,General Practice,2.5,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,Closed,Closed
26,Dr. Karan Gupta,Family Medicine,3,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00,Closed,09:00-11:00
27,Dr. Simran Kaur,Dermatology,6.2,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,09:00-12:00,Closed,09:00-11:00
28,Dr. Rahul Verma,Orthopedics,5.5,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00
29,Dr. Sneha Reddy,Endocrinology,4.1,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,Closed
30,Dr. Aditya Jain,Cardiology,7.8,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,Closed,10:00-13:00,Closed
31,Dr. Pankaj Mishra,Internal Medicine,2.9,09:00-11:00,09:00-12:00;14:00-16:00,Closed,10:00-13:00,09:30-12:30,08:00-10:30,09:00-11:00
32,Dr. Kavita Iyer,Gastroenterology,6.9,Closed,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-11:00
33,Dr. Rohit Agarwal,Neurology,9,Closed,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-11:00
34,Dr. Divya Sharma,Pediatrics,3.6,09:00-11:00,09:00-12:00,Closed,10:00-13:00,09:30-12:30,08:00-10:30,Closed
35,Dr. Ananya Bose,Psychiatry,4.7,Closed,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,Closed
36,Dr. Suresh Pillai,Pulmonology,8.3,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00;14:00-16:00,09:00-11:00
37,Dr. Mehul Shah,General Practice,1.8,08:30-11:30,10:00-13:00,Closed,08:00-10:30;11:30-13:30,10:30-13:30,Closed,09:00-11:00
38,Dr. Rakesh Yadav,ENT,7.5,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed,08:00-10:30;11:30-13:30,09:00-11:00
39,Dr. Priti Shah,Ophthalmology,2.2,08:30-11:30,10:00-13:00,Closed,08:00-10:30,10:30-13:30,Closed,Closed
40,Dr. Arvind Menon,Nephrology,6.4,Closed,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,Closed
41,Dr. Bhavna Singh,Rheumatology,5,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed,09:00-11:00
42,Dr. Sunil Joshi,General Surgery,9.3,09:00-12:00,08:30-11:30,10:00-13:00,Closed,08:00-10:30,10:30-13:30,09:00-11:00
43,Dr. Farida Khan,Infectious Disease,4.6,10:00-13:00,Closed,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00,09:00-11:00
44,Dr. Nishant Mehta,Allergy and Immunology,3.9,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed
45,Dr. Tanvi Kulkarni,Family Medicine,2.7,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,Closed,09:00-11:00;16:00-18:00,Closed
46,Dr. Gaurav Bhatia,Cardiology,7.6,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30,08:00-10:30,09:00-11:00
47,Dr. Reema Das,Endocrinology,3.3,09:30-12:30,08:00-10:30;11:30-13:30,Closed,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,09:00-11:00
48,Dr. Nitin Chopra,Neurology,8.7,10:00-13:00,09:30-12:30,08:00-10:30,Closed,09:00-11:00;16:00-18:00,Closed,09:00-11:00
49,Dr. Alok Sharma,Internal Medicine,4.4,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,Closed
50,Dr. Shreya Sen,General Practice,1.6,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,Closed
51,Dr. Aarav Malhotra,Family Medicine,2.3,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00
52,Dr. Kiara Singh,Dermatology,5.8,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00
53,Dr. Yash Patel,Orthopedics,6.1,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-11:00
54,Dr. Riya Gupta,Endocrinology,3.9,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,Closed,Closed,Closed
55,Dr. Arnav Jain,Cardiology,7.4,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,Closed
56,Dr. Devansh Shah,Internal Medicine,2.6,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00
57,Dr. Isha Kapoor,Gastroenterology,6.5,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,09:00-11:00
58,Dr. Kunal Verma,Neurology,8.9,10:30-13:30,09:00-11:00,Closed,08:30-11:30,10:00-13:00,09:30-12:30,09:00-11:00
59,Dr. Aditi Nair,Pediatrics,3.1,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,Closed,Closed,Closed
60,Dr. Rohan Iyer,Psychiatry,4.5,10:30-13:30,09:00-11:00,Closed,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,Closed
61,Dr. Varun Bhat,Pulmonology,7.8,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30,09:00-11:00
62,Dr. Neel Shah,General Practice,1.7,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,Closed,09:30-12:30;15:00-17:00,09:00-11:00
63,Dr. Tania Roy,ENT,6.9,Closed,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30,08:00-10:30,Closed,09:00-11:00
64,Dr. Sahil Arora,Ophthalmology,2.4,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,Closed
65,Dr. Mehak Chopra,Nephrology,5.7,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,Closed,Closed
66,Dr. Ritesh Yadav,Rheumatology,4.8,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,Closed,09:30-12:30,08:00-10:30;11:30-13:30,09:00-11:00
67,Dr. Zoya Khan,General Surgery,9,08:30-11:30,Closed,09:30-12:30,08:00-10:30,10:30-13:30,Closed,09:00-11:00
68,Dr. Danish Ahmed,Infectious Disease,6.2,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30;13:30-15:30,09:00-11:00
69,Dr. Piyush Agarwal,Allergy and Immunology,3.6,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed,Closed
70,Dr. Anjali Sinha,Family Medicine,2.9,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,Closed,Closed
71,Dr. Rachit Mehta,Cardiology,7.1,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,09:00-11:00
72,Dr. Snehal Deshpande,Endocrinology,3.5,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,09:00-11:00
73,Dr. Keshav Reddy,Neurology,8.2,09:00-11:00,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30,09:00-11:00
74,Dr. Pallavi Iyer,Internal Medicine,4,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,Closed,10:30-13:30,09:00-11:00;16:00-18:00,Closed
75,Dr. Aarohi Sharma,General Practice,1.5,Closed,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30,10:00-13:00,Closed
76,Dr. Vivek Menon,Orthopedics,6.8,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30,09:00-11:00
77,Dr. Shalini Gupta,Dermatology,5.2,Closed,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:00-11:00
78,Dr. Rohit Nair,Gastroenterology,7,10:00-13:00,09:30-12:30,Closed,10:30-13:30,09:00-11:00,Closed,09:00-11:00
79,Dr. Kriti Bansal,Pediatrics,3.8,10:00-13:00,09:30-12:30;15:00-17:00,Closed,10:30-13:30,09:00-11:00,Closed,Closed
80,Dr. Aman Verma,Psychiatry,4.9,Closed,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,10:00-13:00,Closed
81,Dr. Nikhil Kapoor,Pulmonology,8.5,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-11:00
82,Dr. Kavya Menon,General Practice,1.3,08:00-10:30,10:30-13:30,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:00-11:00
83,Dr. Ramesh Iyer,ENT,6.6,10:30-13:30,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:30-12:30;15:00-17:00,09:00-11:00
84,Dr. Harini Shah,Ophthalmology,2,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,Closed
85,Dr. Gaurav Jain,Nephrology,5.9,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,Closed,09:00-12:00,Closed
86,Dr. Sejal Patel,Rheumatology,4.6,08:00-10:30,10:30-13:30,Closed,09:00-12:00,08:30-11:30,10:00-13:00,09:00-11:00
87,Dr. Imtiyaz Khan,General Surgery,9.2,Closed,09:00-12:00;14:00-16:00,08:30-11:30,10:00-13:00,09:30-12:30,08:00-10:30;11:30-13:30,09:00-11:00
88,Dr. Faiza Ali,Infectious Disease,6.3,08:30-11:30;13:30-15:30,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00,09:00-11:00
89,Dr. Arpit Mishra,Allergy and Immunology,3.4,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30;13:30-15:30,Closed
90,Dr. Tanmay Joshi,Family Medicine,2.6,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,Closed,Closed,Closed
91,Dr. Shruti Rao,Cardiology,7.3,10:00-13:00,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00,09:00-11:00
92,Dr. Naman Gupta,Endocrinology,3.7,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00;14:00-16:00,09:00-11:00
93,Dr. Deepak Verma,Neurology,8.6,10:30-13:30,09:00-11:00,09:00-12:00,Closed,10:00-13:00,09:30-12:30;15:00-17:00,09:00-11:00
94,Dr. Alisha Kapoor,Internal Medicine,4.2,09:00-11:00,09:00-12:00,Closed,10:00-13:00,09:30-12:30,08:00-10:30,Closed
95,Dr. Rohan Desai,General Practice,1.8,09:30-12:30,08:00-10:30;11:30-13:30,10:30-13:30,09:00-11:00,09:00-12:00,08:30-11:30;13:30-15:30,Closed
96,Dr. Ajay Bhatia,Orthopedics,6.4,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30;13:30-15:30,09:00-11:00
97,Dr. Pooja Sharma,Dermatology,5,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00;16:00-18:00,09:00-12:00,08:30-11:30,09:00-11:00
98,Dr. Sandeep Iyer,Gastroenterology,7.2,09:00-12:00,Closed,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,09:00-11:00
99,Dr. Kavita Singh,Pediatrics,3.3,Closed,10:00-13:00,09:30-12:30,08:00-10:30,10:30-13:30,Closed,Closed
100,Dr. Manish Arora,Psychiatry,4.7,09:30-12:30;15:00-17:00,08:00-10:30,10:30-13:30,09:00-11:00,09:00-12:00;14:00-16:00,08:30-11:30,Closed
